,ARIMA,HMM,GARCH
nano,0.08182,0.005964,0.420822
micro,0.00191,0.002655,0.001629
small,0.00124,0.001454,0.000982
medium,0.00085,0.000993,0.000697
large,0.0005,0.001061,0.000834
mega,0.00028,0.000859,0.00072
