,ARIMA,HMM,GARCH
nano,5404.32,8.248564,11.766981
micro,505.94,6.04929,12.648542
small,34.38,5.528778,15.858709
medium,57.35,8.716597,18.607054
large,24.56,5.29171,22.213989
mega,7.54,4.370087,23.904829
