,HMM
0,-0.0014255287979655458
1,-0.007564629212075597
2,-0.015738806574292614
3,-0.009895544210377936
4,0.007443462754242151
5,-0.02020029711539867
6,-0.019314228673647873
7,-0.0012629814634270672
8,0.013461679357301993
9,0.003515161078956804
10,-0.0034902320723154676
11,-0.01844256190955264
12,-0.0406022266519079
13,0.019970614132999196
14,-0.007831526982670402
15,-0.029158343215673264
16,0.011795156426944849
17,-0.046631764328510676
18,-0.01703637438964841
19,0.001552763989641178
20,0.010764117205694113
21,-0.0020073853305586985
22,-0.0235888507635532
23,-0.026728240757421206
24,-0.0012544425935272162
25,0.0236545935091276
26,-0.00573793419830195
27,0.03936934534483539
28,0.01594429987366164
29,0.004890807411324668
30,-0.030022700250509172
31,0.016019769630555104
32,0.0005374281298984752
33,-0.03931777820247975
34,0.012397727478652696
35,-0.0069152258509232395
36,0.005278536608324564
37,-0.04707039971031192
38,-0.0028194777259973056
39,-0.03321212108640472
40,0.0036703865933828588
41,0.005706873160650525
42,-0.016644659380511614
43,0.006071519229591562
44,-0.014773104095159435
45,0.0042479941988932315
46,0.007848757727541037
47,0.00620458557130665
48,0.00015066829679401999
49,0.007800398975672583
50,-0.004016723390612032
51,0.008352864113438158
52,0.0034234031512216613
53,0.012332236809348827
54,0.03598810040081588
55,-0.010520684728478013
56,-0.0023548630239359257
57,-0.0022870622974865335
58,-0.042214870605374176
59,0.0478012870786351
60,-0.03527627660400885
61,-0.02517756188752358
62,0.060492240342432425
63,0.00017119774352883452
64,0.025619485389858462
65,-0.035941969183613275
66,0.007031804555775843
67,-0.012574266969147013
68,-0.008583726334054173
69,0.012389496459575801
70,-0.009551005282038148
71,0.007976982304897368
72,0.05675911504944077
73,-0.03956363311190989
74,0.09634262813584762
75,-0.0441944242186229
76,0.003436752483768222
77,0.03370921460827081
78,0.024836440856950644
79,-0.1265121050075484
80,-0.0017433800640327289
81,-0.04936065221919091
82,0.00724817021332078
83,0.017626601938303555
84,0.01927004680832825
85,-0.003596101816529025
86,-0.004374670143941715
87,0.01288236372061631
88,0.01363111186119619
89,-0.011231875485189112
90,0.00680861114683691
91,-0.00431917011700049
92,-0.001861426889137143
93,0.022307012806716923
94,0.011078453052501868
95,0.0001947592487136613
96,-0.005333076988478354
97,0.0008433449706521661
98,0.001985211550301004
99,0.0030103201880513396
100,0.003995007037616347
101,0.003489987407479883
102,-0.0039967104855183795
103,-0.014043522350438932
104,0.010459810269547131
105,0.010850809755150756
106,0.005718384725418849
107,-0.018603381228721384
108,-0.01798918322826139
109,0.018121550246518806
110,0.004652833629861296
111,-0.00961477282612816
112,0.007804185442701802
113,-0.010585690820875187
114,-0.00030759470297819
115,0.04376907297196372
116,-0.013194655688036563
117,-0.013534929982542097
118,0.09371699009004099
119,-0.03673095135763851
120,0.03484050761221165
121,0.0024040637490456577
122,-0.013179587603661969
123,-0.0026110567505632943
124,0.029183071332271947
125,0.0021161831441375923
126,0.0048556092834469
127,0.00952173214569439
128,-0.009952515834875487
129,0.0006177403012436605
130,-0.0006415985437224264
131,0.014653243493072541
132,-0.009835783889168741
133,-0.021246294423204283
134,-0.020859753157769466
135,-0.004535528086982848
136,0.01586647931802329
137,-0.029127879865679957
138,0.008243509841532621
139,0.10128057450454622
140,0.011188660521657663
141,0.017396357737636318
142,-0.08507297050397605
143,0.030125205468900896
144,-0.01108114859842819
145,-0.008779367463937558
146,-0.011906598122690832
147,-0.0020829355374518445
148,-0.0326222516742029
149,-0.01484724618572118
150,-0.010789017392126501
151,-0.024894695770046812
152,-0.019507164025987067
153,0.011411604599300315
154,0.004347283678429413
155,0.028462203293030158
156,0.0008439516575272752
157,0.0009031239245333392
158,0.02760971025359748
159,0.003741785305988092
160,0.023922447037917155
161,-0.0012720074851701644
162,-0.0065169835784811714
163,0.016027048951984462
164,-0.00760995633718414
165,0.012482076959276769
166,0.03994700384370781
167,-0.014749338491670736
168,-0.010701441964528881
169,-0.016096054273689007
170,0.02020112934470722
171,-0.023728172632962428
172,-0.009959506456281565
173,0.010083366714844997
174,-0.01344518371911061
175,-0.012684587770174503
176,-0.01677167269561705
177,-0.010389469042184551
178,-0.026513840610897173
179,-0.002578105406113173
180,-0.00018707572558288163
181,0.015316555193255702
182,0.019224324944778905
183,-0.01033402300604959
184,-0.02666938499477198
185,0.011911988979042065
186,0.0023907727142331078
187,0.012525705507189068
188,-0.0008696107590900296
189,0.021313872589572885
190,-0.0011129594036018318
191,0.004529758744972674
192,0.000154816295590388
193,0.004648704960447268
194,0.015718351609341128
195,0.08455813521061464
196,-0.011305587726469554
197,0.01525758202624088
198,0.0009239558059202227
199,-0.020295058805023525
200,-0.008169956016172245
201,0.0002760705861561963
202,-0.01539637511415563
203,0.0028873302108247323
204,-0.0029556393209052563
205,0.0068407304939324225
206,0.008317761518904543
207,-0.02405916245627127
208,-0.00020603930983096458
209,0.008617134087898111
210,0.0065396171367755485
211,0.014417431546723085
212,0.011391662137333333
213,0.02003980293916846
214,0.01045526698829647
215,0.02839734787057271
216,0.021501439005989054
217,-0.008030770032634348
218,-0.03373949949848614
219,0.016305414585504285
220,-0.010331203066279132
221,-0.014102165188106752
222,-0.0027613613089177216
223,0.0022028379371347856
224,-0.008209910961570251
225,0.01797997579393891
226,-0.0052374629057527775
227,0.012633392270086266
228,-0.00782465305445603
229,0.02066489536891302
230,0.01117551248407837
231,0.047613395536803355
232,-0.007179487857577786
233,-0.01392044775840122
234,-0.01410136619617638
235,-0.0031246387581325454
236,-0.01572312001762638
